title,category
Mobile bill,Bills
Starbucks coffee,Food
Electricity bill,Bills
Donation to NGO,Other
Concert pass,Entertainment
Udemy course,Education
Concert pass,Entertainment
Gym membership,Health
Gas connection payment,Bills
Bought new jeans,Shopping
Bought medicines,Health
Stationery items,Other
Donation to NGO,Other
Book purchase,Education
Gift for friend,Other
Swiggy order,Food
Domino's pizza,Food
Mall expenses,Shopping
Donation to NGO,Other
Doctor consultation,Health
Online course fee,Education
Mobile bill,Bills
Flipkart sale,Shopping
Bought medicines,Health
Doctor consultation,Health
Zomato lunch,Food
Exam fee,Education
Concert pass,Entertainment
Bought new jeans,Shopping
Dinner at Olive Garden,Food
Amazon purchase,Shopping
Pharmacy bill,Health
Spotify premium,Entertainment
Gift for friend,Other
College fee,Education
Bus fare,Transport
Bus fare,Transport
Amazon purchase,Shopping
YouTube Premium,Entertainment
Domino's pizza,Food
Mobile bill,Bills
Pharmacy bill,Health
Flipkart sale,Shopping
Water bill,Bills
Doctor consultation,Health
Swiggy order,Food
YouTube Premium,Entertainment
Gas connection payment,Bills
Concert pass,Entertainment
Concert pass,Entertainment
Shoe shopping,Shopping
Grocery shopping,Food
Book purchase,Education
Exam fee,Education
Bought medicines,Health
Book purchase,Education
Udemy course,Education
Book purchase,Education
Donation to NGO,Other
Gift for friend,Other
Donation to NGO,Other
Zomato lunch,Food
Gift for friend,Other
Grocery shopping,Food
Bus fare,Transport
Flight to Delhi,Transport
Spotify premium,Entertainment
Flight to Delhi,Transport
Bought medicines,Health
Water bill,Bills
Mall expenses,Shopping
Movie ticket,Entertainment
Movie ticket,Entertainment
New headphones,Shopping
Mall expenses,Shopping
Zomato lunch,Food
YouTube Premium,Entertainment
Mobile bill,Bills
College fee,Education
Domino's pizza,Food
Train ticket,Transport
Movie ticket,Entertainment
McDonald's burger,Food
Bought medicines,Health
Donation to NGO,Other
Bought new jeans,Shopping
Bought new jeans,Shopping
Spotify premium,Entertainment
Flight to Delhi,Transport
Home decor,Other
Donation to NGO,Other
Amazon purchase,Shopping
Gift for friend,Other
Online course fee,Education
Doctor consultation,Health
Uber ride,Transport
Health checkup,Health
College fee,Education
Bought new jeans,Shopping
Bought new jeans,Shopping
College fee,Education
Pharmacy bill,Health
Doctor consultation,Health
Amazon purchase,Shopping
Zomato lunch,Food
Home decor,Other
Zomato lunch,Food
Shoe shopping,Shopping
Stationery items,Other
Gift for friend,Other
Train ticket,Transport
Flight to Delhi,Transport
Starbucks coffee,Food
Udemy course,Education
Concert pass,Entertainment
Book purchase,Education
Stationery items,Other
Doctor consultation,Health
Swiggy order,Food
Online course fee,Education
Water bill,Bills
Spotify premium,Entertainment
Dinner at Olive Garden,Food
Metro card recharge,Transport
Domino's pizza,Food
Netflix subscription,Entertainment
Netflix subscription,Entertainment
Domino's pizza,Food
Electricity bill,Bills
Shoe shopping,Shopping
Donation to NGO,Other
Home decor,Other
Home decor,Other
Doctor consultation,Health
New headphones,Shopping
Movie ticket,Entertainment
Stationery items,Other
Bus fare,Transport
Gas connection payment,Bills
College fee,Education
Netflix subscription,Entertainment
New headphones,Shopping
Gas connection payment,Bills
Water bill,Bills
Bought new jeans,Shopping
Water bill,Bills
Uber ride,Transport
Online course fee,Education
College fee,Education
Swiggy order,Food
Domino's pizza,Food
Netflix subscription,Entertainment
Concert pass,Entertainment
Train ticket,Transport
Flight to Delhi,Transport
Gas connection payment,Bills
Shoe shopping,Shopping
Doctor consultation,Health
Doctor consultation,Health
Internet recharge,Bills
Cab to office,Transport
Home decor,Other
Flipkart sale,Shopping
Spotify premium,Entertainment
Spotify premium,Entertainment
Stationery items,Other
Shoe shopping,Shopping
Bus fare,Transport
Mobile bill,Bills
Gift for friend,Other
College fee,Education
